Generación,Mejor Individuo,Valor de la Función Objetivo
473,[14.2365618  26.69723537],376.43058266244554
474,[14.2365618  26.69723537],376.43058266244554
475,[14.2365618  26.69723537],376.43058266244554
476,[14.2365618  26.69723537],376.43058266244554
477,[14.2365618  26.69723537],376.43058266244554
478,[14.2365618  26.69723537],376.43058266244554
479,[14.2365618  26.69723537],376.43058266244554
480,[14.2365618  26.69723537],376.43058266244554
481,[14.2365618  26.69723537],376.43058266244554
482,[14.2365618  26.69723537],376.43058266244554
483,[14.2365618  26.69723537],376.43058266244554
484,[14.2365618  26.69723537],376.43058266244554
485,[14.2365618  26.69723537],376.43058266244554
486,[14.2365618  26.69723537],376.43058266244554
487,[14.2365618  26.69723537],376.43058266244554
488,[14.2365618  26.69723537],376.43058266244554
489,[14.2365618  26.69723537],376.43058266244554
490,[14.2365618  26.69723537],376.43058266244554
491,[14.2365618  26.69723537],376.43058266244554
492,[14.2365618  26.69723537],376.43058266244554
493,[14.2365618  26.69723537],376.43058266244554
494,[14.2365618  26.69723537],376.43058266244554
495,[14.2365618  26.69723537],376.43058266244554
496,[14.2365618  26.69723537],376.43058266244554
497,[14.2365618  26.69723537],376.43058266244554
498,[14.2365618  26.69723537],376.43058266244554
499,[14.2365618  26.69723537],376.43058266244554
500,[14.2365618  26.69723537],376.43058266244554
501,[14.2365618  26.69723537],376.43058266244554
502,[14.2365618  26.69723537],376.43058266244554
503,[14.2365618  26.69723537],376.43058266244554
504,[14.2365618  26.69723537],376.43058266244554
505,[14.2365618  26.69723537],376.43058266244554
506,[14.2365618  26.69723537],376.43058266244554
507,[14.2365618  26.69723537],376.43058266244554
508,[14.2365618  26.69723537],376.43058266244554
509,[14.2365618  26.69723537],376.43058266244554
510,[14.2365618  26.69723537],376.43058266244554
511,[14.2365618  26.69723537],376.43058266244554
512,[14.2365618  26.69723537],376.43058266244554
513,[14.2365618  26.69723537],376.43058266244554
514,[14.2365618  26.69723537],376.43058266244554
515,[14.2365618  26.69723537],376.43058266244554
516,[14.2365618  26.69723537],376.43058266244554
517,[14.2365618  26.69723537],376.43058266244554
518,[14.2365618  26.69723537],376.43058266244554
519,[14.2365618  26.69723537],376.43058266244554
520,[14.2365618  26.69723537],376.43058266244554
521,[14.2365618  26.69723537],376.43058266244554
522,[14.2365618  26.69723537],376.43058266244554
523,[14.2365618  26.69723537],376.43058266244554
524,[14.2365618  26.69723537],376.43058266244554
525,[14.2365618  26.69723537],376.43058266244554
526,[14.2365618  26.69723537],376.43058266244554
527,[14.2365618  26.69723537],376.43058266244554
528,[14.2365618  26.69723537],376.43058266244554
529,[14.2365618  26.69723537],376.43058266244554
530,[14.2365618  26.69723537],376.43058266244554
531,[14.2365618  26.69723537],376.43058266244554
532,[14.2365618  26.69723537],376.43058266244554
533,[14.2365618  26.69723537],376.43058266244554
534,[14.2365618  26.69723537],376.43058266244554
535,[14.2365618  26.69723537],376.43058266244554
536,[14.2365618  26.69723537],376.43058266244554
537,[14.2365618  26.69723537],376.43058266244554
538,[14.2365618  26.69723537],376.43058266244554
539,[14.2365618  26.69723537],376.43058266244554
540,[14.2365618  26.69723537],376.43058266244554
541,[14.2365618  26.69723537],376.43058266244554
542,[14.2365618  26.69723537],376.43058266244554
543,[14.2365618  26.69723537],376.43058266244554
544,[14.2365618  26.69723537],376.43058266244554
545,[14.2365618  26.69723537],376.43058266244554
546,[14.2365618  26.69723537],376.43058266244554
547,[14.2365618  26.69723537],376.43058266244554
548,[14.2365618  26.69723537],376.43058266244554
549,[14.2365618  26.69723537],376.43058266244554
550,[14.2365618  26.69723537],376.43058266244554
551,[14.2365618  26.69723537],376.43058266244554
552,[14.2365618  26.69723537],376.43058266244554
553,[14.2365618  26.69723537],376.43058266244554
554,[14.2365618  26.69723537],376.43058266244554
555,[14.2365618  26.69723537],376.43058266244554
556,[14.2365618  26.69723537],376.43058266244554
557,[14.2365618  26.69723537],376.43058266244554
558,[14.2365618  26.69723537],376.43058266244554
559,[14.2365618  26.69723537],376.43058266244554
560,[14.2365618  26.69723537],376.43058266244554
561,[14.2365618  26.69723537],376.43058266244554
562,[14.2365618  26.69723537],376.43058266244554
563,[14.2365618  26.69723537],376.43058266244554
564,[14.2365618  26.69723537],376.43058266244554
565,[14.2365618  26.69723537],376.43058266244554
566,[14.2365618  26.69723537],376.43058266244554
567,[14.2365618  26.69723537],376.43058266244554
568,[14.2365618  26.69723537],376.43058266244554
569,[14.2365618  26.69723537],376.43058266244554
570,[14.2365618  26.69723537],376.43058266244554
571,[14.2365618  26.69723537],376.43058266244554
572,[14.2365618  26.69723537],376.43058266244554
573,[14.2365618  26.69723537],376.43058266244554
574,[14.2365618  26.69723537],376.43058266244554
575,[14.2365618  26.69723537],376.43058266244554
576,[14.2365618  26.69723537],376.43058266244554
577,[14.2365618  26.69723537],376.43058266244554
578,[14.2365618  26.69723537],376.43058266244554
579,[14.2365618  26.69723537],376.43058266244554
580,[14.2365618  26.69723537],376.43058266244554
581,[14.2365618  26.69723537],376.43058266244554
582,[14.2365618  26.69723537],376.43058266244554
583,[14.2365618  26.69723537],376.43058266244554
584,[14.2365618  26.69723537],376.43058266244554
585,[14.2365618  26.69723537],376.43058266244554
586,[14.2365618  26.69723537],376.43058266244554
587,[14.2365618  26.69723537],376.43058266244554
588,[14.2365618  26.69723537],376.43058266244554
589,[14.2365618  26.69723537],376.43058266244554
590,[14.2365618  26.69723537],376.43058266244554
591,[14.2365618  26.69723537],376.43058266244554
592,[14.2365618  26.69723537],376.43058266244554
593,[14.2365618  26.69723537],376.43058266244554
594,[14.2365618  26.69723537],376.43058266244554
595,[14.2365618  26.69723537],376.43058266244554
596,[14.2365618  26.69723537],376.43058266244554
597,[14.2365618  26.69723537],376.43058266244554
598,[14.2365618  26.69723537],376.43058266244554
599,[14.2365618  26.69723537],376.43058266244554
